Time,Displacement,Force
(s),(mm),(mN)
"6.2970","0.6196","50.2370"
"6.3070","0.6206","50.3563"
"6.3170","0.6216","50.4288"
"6.3270","0.6226","50.3109"
"6.3370","0.6236","50.3332"
"6.3470","0.6247","50.3589"
"6.3570","0.6257","50.5568"
"6.3670","0.6268","50.5150"
"6.3770","0.6279","50.4916"
"6.3870","0.6290","50.1115"
"6.3970","0.6302","49.8553"
"6.4070","0.6313","50.2110"
"6.4170","0.6325","51.2912"
"6.4270","0.6336","52.2483"
"6.4370","0.6348","52.3323"
"6.4470","0.6358","51.6814"
"6.4570","0.6368","50.8727"
"6.4670","0.6378","50.5326"
"6.4770","0.6387","50.6202"
"6.4870","0.6395","51.0934"
"6.4970","0.6404","51.3787"
"6.5070","0.6412","51.7920"
"6.5170","0.6421","51.9334"
"6.5270","0.6430","51.8242"
"6.5370","0.6439","51.9306"
"6.5470","0.6448","52.4263"
"6.5570","0.6457","52.7468"
"6.5670","0.6467","52.1988"
"6.5770","0.6476","51.3244"
"6.5870","0.6485","50.8771"
"6.5970","0.6494","51.2802"
"6.6070","0.6504","52.0386"
"6.6170","0.6515","52.8145"
"6.6270","0.6525","53.4324"
"6.6370","0.6536","53.6784"
"6.6470","0.6547","53.2508"
"6.6570","0.6559","52.8546"
"6.6670","0.6571","52.6065"
"6.6770","0.6582","52.4157"
"6.6870","0.6594","52.2870"
"6.6970","0.6605","52.4746"
"6.7070","0.6616","52.7759"
"6.7170","0.6627","52.8336"
"6.7270","0.6637","52.8484"
"6.7370","0.6647","53.3954"
"6.7470","0.6657","54.3615"
"6.7570","0.6666","54.6378"
"6.7670","0.6675","54.1714"
"6.7770","0.6684","53.2597"
"6.7870","0.6693","52.8345"
"6.7970","0.6702","52.8711"
"6.8070","0.6711","53.1390"
"6.8170","0.6719","53.4315"
"6.8270","0.6728","53.9926"
"6.8370","0.6737","54.6155"
"6.8470","0.6746","54.5704"
"6.8570","0.6756","54.2365"
"6.8670","0.6765","54.2374"
"6.8770","0.6775","54.8086"
"6.8870","0.6784","54.8677"
"6.8970","0.6794","54.0404"
"6.9070","0.6804","53.2402"
"6.9170","0.6814","53.5413"
"6.9270","0.6824","54.3167"
"6.9370","0.6835","55.0516"
"6.9470","0.6846","55.5790"
"6.9570","0.6857","55.7701"
"6.9670","0.6869","55.5620"
"6.9770","0.6880","55.2269"
"6.9870","0.6891","54.9389"
"6.9970","0.6902","55.0295"
"7.0070","0.6913","55.1819"
"7.0170","0.6923","55.2670"
"7.0270","0.6934","55.2665"
"7.0370","0.6944","55.3525"
"7.0470","0.6954","55.6082"
"7.0570","0.6963","55.9028"
"7.0670","0.6973","56.4300"
"7.0770","0.6983","56.7730"
"7.0870","0.6993","56.5259"
"7.0970","0.7002","55.5462"
"7.1070","0.7012","54.8231"
"7.1170","0.7022","55.3495"
"7.1270","0.7031","56.3960"
"7.1370","0.7041","56.7842"
"7.1470","0.7050","56.8311"
"7.1570","0.7060","57.0558"
"7.1670","0.7070","57.3344"
"7.1770","0.7080","57.2533"
"7.1870","0.7090","56.7394"
"7.1970","0.7100","56.5479"
"7.2070","0.7110","56.8220"
"7.2170","0.7120","56.8169"
"7.2270","0.7130","56.3647"
"7.2370","0.7141","56.3254"
"7.2470","0.7151","57.0416"
"7.2570","0.7162","58.0982"
"7.2670","0.7172","58.2401"
"7.2770","0.7182","57.6918"
"7.2870","0.7191","57.3896"
